Parameter,Description,Type/Hz,Unit,Min,Max
SNUADC/ART,Arterial pressure wave,W/500,mmHg,40,50
SNUADC/CVP,Central venous pressure wave,W/500,mmHg,40,50
SNUADC/ECG_II,ECG lead II wave,W/500,mV,40,50
SNUADC/ECG_V5,ECG lead V5 wave,W/500,mV,40,50
SNUADC/FEM,Femoral arterial pressure wave,W/500,mmHg,40,50
SNUADC/PLETH,Plethysmography wave,W/500,unitless,40,50
Solar8000/ART_DBP,Diastolic arterial pressure,N,mmHg,40,50
Solar8000/ART_MBP,Mean arterial pressure,N,mmHg,40,50
Solar8000/ART_SBP,Systolic arterial pressure,N,mmHg,40,50
Solar8000/BT,Body temperature,N,?,40,50
Solar8000/CVP,Central venous pressure,N,mmHg,40,50
Solar8000/ETCO2,End-tidal CO2,N,mmHg,40,50
Solar8000/FEM_DBP,Femoral diastolic arterial pressure,N,mmHg,40,50
Solar8000/FEM_MBP,Femoral mean arterial pressure,N,mmHg,40,50
Solar8000/FEM_SBP,Femoral systolic arterial pressure,N,mmHg,40,50
Solar8000/FEO2,Fraction of expired O2,N,%,40,50
Solar8000/FIO2,Fraction of inspired O2,N,%,40,50
Solar8000/GAS2_EXPIRED,Expiratory volatile concentration,N,%,40,50
Solar8000/GAS2_INSPIRED,Inspiratory volatile concentration,N,%,40,50
Solar8000/HR,Heart rate,N,/min,40,50
Solar8000/INCO2,Inspiratory CO2,N,mmHg,40,50
Solar8000/NIBP_DBP,Non-invasive diastolic arterial pressure,N,mmHg,40,50
Solar8000/NIBP_MBP,Non-invasive mean arterial pressure,N,mmHg,40,50
Solar8000/NIBP_SBP,Non-invasive systolic arterial pressure,N,mmHg,40,50
Solar8000/PA_DBP,Pulmonary diastolic arterial pressure,N,mmHg,40,50
Solar8000/PA_MBP,Pulmonary mean arterial pressure,N,mmHg,40,50
Solar8000/PA_SBP,Pulmonary systolic arterial pressure,N,mmHg,40,50
Solar8000/PLETH_HR,Heart rate based on plethysmography,N,/min,40,50
Solar8000/PLETH_SPO2,Percutaneous oxygen saturation,N,%,40,50
Solar8000/RR,Respiratory rate based on ECG,N,/min,40,50
Solar8000/RR_CO2,Respiratory rate based on capnography,N,/min,40,50
Solar8000/ST_AVF,ST segment in lead aVF,N,mm,40,50
Solar8000/ST_AVL,ST segment in lead aVL,N,mm,40,50
Solar8000/ST_AVR,ST segment in lead aVR,N,mm,40,50
Solar8000/ST_I,ST segment in lead I,N,mm,40,50
Solar8000/ST_II,ST segment in lead II,N,mm,40,50
Solar8000/ST_III,ST segment in lead III,N,mm,40,50
Solar8000/ST_V5,ST segment in lead V5,N,mm,40,50
Solar8000/VENT_COMPL,Airway compliance (from ventilator),N,mL/mbar,40,50
Solar8000/VENT_INSP_TM,Inspiratory time (from ventilator),N,sec,40,50
Solar8000/VENT_MAWP,Mean airway pressure (from ventilator),N,mbar,40,50
Solar8000/VENT_MEAS_PEEP,Positive end-expiratory pressure (from ventilator),N,mbar,40,50
Solar8000/VENT_MV,Minute ventilation (from ventilator),N,L/min,40,50
Solar8000/VENT_PIP,Peak inspiratory pressure (from ventilator),N,mbar,40,50
Solar8000/VENT_PPLAT,Plateau pressure (from ventilator),N,mbar,40,50
Solar8000/VENT_RR,Respiratory rate (from ventilator),N,/min,40,50
Solar8000/VENT_SET_FIO2,Set fraction of inspired O2 (from ventilator),N,%,40,50
Solar8000/VENT_SET_PCP,Set peak inspiratory pressure in pressure control mode (from ventilator),N,cmH2O,40,50
Solar8000/VENT_SET_TV,Set tidal volume in volume control mode (from ventilator),N,mL,40,50
Solar8000/VENT_TV,Measured tidal volume (from ventilator),N,mL,40,50
Primus/AWP,Airway pressure wave,W/62.5,hPa,40,50
Primus/CO2,Capnography wave,W/62.5,mmHg,40,50
Primus/COMPLIANCE,Airway compliance,N,mL/mbar,40,50
Primus/ETCO2,End-tidal CO2,N,mmHg,40,50
Primus/EXP_DES,Expiratory desflurane pressure,N,kPa,40,50
Primus/EXP_SEVO,Expiratory sevoflurane pressure,N,kPa,40,50
Primus/FEN2O,Fraction of inspired N2O,N,%,40,50
Primus/FEO2,Fraction of expired O2,N,%,40,50
Primus/FIN2O,Fraction of expired N2O,N,%,40,50
Primus/FIO2,Fraction of inspired O2,N,%,40,50
Primus/FLOW_AIR,Flow rate of air,N,mL/min,40,50
Primus/FLOW_N2O,Flow rate of N2O,N,mbar,40,50
